,Star_name,Distance,solar_mass,solar_radius
0,SDSS J000013.54+255418.6 [de],46.1,4.3739437e-05,0.010454631
1,2MASS J00040288-6410358,192.0,1.7313527e-05,0.01721318
2,2MASS J00242463-0158201,37.7,7.198782e-05,0.011510655
3,2MASS J00274197+0503417,236.0,2.8248385e-05,0.015206737
4,2MASSW J0030300-145033,87.2,4.9206865e-05,0.010349029
5,2MASS J00332386-1521309 [de],131.0,2.6425909e-05,0.015101135
6,2MASS J00345157+0523050,31.0,3.8272006e-05,0.00992662
7,2MASS 0036+1821,28.6,3.8272006e-05,0.00992662
8,2MASSW J0045214+163445,57.0,2.095848e-05,0.017107578
9,WISEP J004701.06+680352.1 [fr],40.0,1.0934859e-05,0.013728305
10,2MASS J00501994-3322402 [de],34.0,3.644953e-05,0.00992662
11,2MASS J00584253-0651239 [de],96.0,2.6425909e-05,0.015101135
12,2MASSI J0103320+193536,70.0,4.738439e-05,0.010349029
13,SDSSp J010752.33+004156.1 [de],51.0,4.738439e-05,0.010349029
14,2MASSI J0117474-340325 [de],163.0,1.8224766e-05,0.017107578
15,2MASS J01415823-4633574 [de],130.0,1.8224766e-05,0.017001975
16,SDSS J015141.69+124429.6,70.0,4.2828196e-05,0.010243427
17,SDSS J020742.48+000056.2 [de],111.0,4.2828196e-05,0.010243427
18,2MASS J02103857-3015313,101.0,1.3668574e-05,0.016157158
19,2MASS J02340093-6442068,155.0,1.8224766e-05,0.017107578
20,2MASS J02411151-0326587 [de],152.0,2.4603432e-05,0.01488993
21,2MASS J02431371−2453298,35.0,3.0070863e-05,0.010454631
22,LP 771-21,53.0,7.107658e-05,0.011405053
23,Teegarden's star,12.578,7.289906e-05,0.013411497
24,2MASS J02535980+3206373,184.0,5.9230486e-05,0.020064445
25,WISE J0254+0223,24.0,5.9230486e-05,0.020064445
26,DEN 0255-4700,16.2,7.289906e-05,0.010243427
27,2MASS J03185403-3421292 [de],45.0,4.4650675e-05,0.010243427
28,2MASS J03205965+1854233,47.0,8.018897e-05,0.012144269
29,2MASS J03231002-4631237,192.0,2.095848e-05,0.017529989
30,SDSS J032553.17+042540.1,59.0,4.1005722e-05,0.010032223
31,2MASS J03264225-2102057 [de],80.0,1.640229e-05,0.013728305
32,2MASS J03284265+2302051 [de],98.0,4.9206865e-05,0.010349029
33,2MASS J03341218-4953322,27.0,6.652039e-05,0.010982643
34,LP 944-20,20.9,6.652039e-05,0.015101135
35,2MASP J0345432+254023,88.0,6.743163e-05,0.011088246
36,Teide 1,380.0,5.0118106e-05,0.03991768
37,2MASS J03510004-0052452,48.0,9.2946306e-05,0.013411497
38,2MASS J03552337+1133437,29.8,1.8224766e-05,0.013939509
39,2MASS J04151954−0935066,18.6,2.7337148e-05,0.010032223
40,2MASS J04285096-2253227 [de],85.0,7.289906e-05,0.011510655
41,2MASS J04351612-1606574,34.0,9.1123824e-05,0.013305894
42,2MASS J04362788-4114465,142.0,3.553829e-05,0.02080366
43,2MASS J04390101-2353083 [de],29.5,4.3739437e-05,0.010243427
44,2MASS J04433764+0002040,82.0,2.0047242e-05,0.018797217
45,2MASS J04455387-3048204 [de],42.0,5.831925e-05,0.010560233
46,2MASS J04510093-3402150 [de],69.0,9.4768774e-07,0.7603368
47,2MASS J05002100+0330501 [de],44.0,5.831925e-05,0.010560233
48,2MASS J05012406-0010452 [de],64.0,1.9136003e-05,0.014573122
49,2MASS J05160945-0445499 [de],73.0,4.2828196e-05,0.010243427
50,2MASS J0523−1403,40.0,6.19642e-05,0.010665837
51,SDSS J053951.99-005902.0,41.62,5.5585533e-05,0.010665837
52,LSR 0602+3910 [de],34.6,2.5514672e-05,0.01488993
53,2MASS J06085283-2753583,102.0,3.4627054e-05,0.015945952
54,2MASS J06244595-4521548 [de],39.0,5.1029343e-05,0.010454631
55,2MASS J06411840-4322329 [de],65.0,6.105296e-05,0.010665837
56,DENIS-P J0652197-253450 [de],51.0,6.8342866e-05,0.011088246
57,2MASS J07075327-4900503,60.0,6.560916e-05,0.010877041
58,UGPS J072227.51-054031.2,13.4,2.3692195e-05,0.010349029
59,2MASSI J0727182+171001 [de],29.6,3.736077e-05,0.00992662
60,2MASS J07290002-3954043 [de],25.8,3.3715816e-05,0.00992662
61,SDSS J074201.41+205520.5 [de],49.0,3.9183244e-05,0.00992662
62,DENIS-P J0751164-253043 [de],55.0,6.469792e-05,0.010877041
63,2MASS J07522390+1612157,60.0,1.8315889e-06,0.7180959
64,DENIS J081730.0-615520,16.1,4.0094485e-05,0.00992662
65,2MASS J08251968+2115521 [de],35.0,4.738439e-05,0.010349029
66,SDSSp J083008.12+482847.4 [de],43.0,4.3739437e-05,0.010454631
67,LHS 2021,55.0,8.018897e-05,0.012144269
68,SDSS J083048.80+012831.1 [de],77.0,4.191696e-05,0.010137824
69,2MASSI J0835425-081923 [de],23.53,5.649677e-05,0.010560233
70,2MASSI J0847287-153237 [de],43.0,5.831925e-05,0.010560233
71,2MASS J08533619-0329321,27.6,7.016535e-05,0.011299451
72,2MASSI J0859254-194926 [de],50.0,4.5561912e-05,0.010349029
73,2MASSI J0937347+293142,20.0,3.8272006e-05,0.00992662
74,2MASS 0939−2448,17.4,2.9159624e-05,0.010032223
75,2MASS J09490860-1545485 [de],59.0,4.4650675e-05,0.010137824
76,2MASS J10073369-4555147,46.0,4.0094485e-05,0.00992662
77,2MASSI J1010148-040649 [de],55.0,4.6473153e-05,0.010349029
78,2MASS J10224821+5825453 [de],60.0,2.4603432e-05,0.01488993
79,2MASSW J1036530-344138 [de],53.0,4.4650675e-05,0.010243427
80,2MASS J1047538+212423 [de],34.4,3.8272006e-05,0.00992662
81,DEN 1048-3956,13.15,7.016535e-05,0.011299451
82,Luhman 16B,6.516,3.9183244e-05,0.0107714385
83,Luhman 16A,6.516,3.644953e-05,0.010665837
84,DENIS-P J1058.7−1548,49.0,5.831925e-05,0.010560233
85,TWA 28,180.0,3.280458e-05,0.02523896
86,Cha 110913-773444,163.0,7.289906e-06,0.019008422
87,SDSS J111010.01+011613.1,63.0,8.201145e-06,0.01309469
88,2MASS J11145133−2618235,18.2,3.0070863e-05,0.010137824
89,TWA 26,137.0,2.7337148e-05,0.023232514
90,2MASS J11544223-3400390 [de],129.0,3.3715816e-05,0.01584035
91,2MASSW J1155395-372735 [de],31.0,5.831925e-05,0.010560233
92,2MASS J12074836-3900043,217.0,1.549105e-05,0.018058
93,2MASSI J1217110-031113 [de],36.0,3.8272006e-05,0.00992662
94,2M 1237+6526,45.6,3.736077e-05,0.00992662
95,TWA 29,262.0,1.8224765e-06,0.26400587
96,SDSSp J125453.90-012247.4 [de],38.0,4.2828196e-05,0.010349029
97,Kelu-1A,61.0,5.740801e-05,0.010349029
98,Kelu-1B,61.0,5.2851818e-05,0.010349029
99,2MASS J13204427+0409045,101.0,6.105296e-05,0.010665837
100,SDSSp J132629.82-003831.5 [de],65.0,4.6473153e-05,0.010243427
101,SDSSp J134646.45-003150.4 [de],48.0,4.0094485e-05,0.00992662
102,2MASS J13595510-4034582,51.0,5.740801e-05,0.010560233
103,ULAS J141623.94+134836.3,29.7,2.9159624e-05,0.010137824
104,SDSS J141659.78+500626.4 [de],149.0,5.376306e-05,0.010454631
105,DENIS-P J142527.97-365023.4 [de],38.0,1.9136003e-05,0.013939509
106,LHS 2924,38.5,6.925411e-05,0.011193847
107,2MASS J14392837+1929150,47.0,6.560916e-05,0.010877041
108,LSPM J1440+1339,72.0,8.383392e-05,0.012566678
109,2MASS J14482563+1031590 [de],47.0,5.376306e-05,0.010454631
110,CFBDSIR 1458+10A,104.0,1.0114745e-05,0.01584035
111,CFBDSIR 1458+10B,104.0,8.201145e-06,0.013728305
112,TVLM 513-46546,35.1,6.8342866e-05,0.011088246
113,2MASS 1503+2525,20.7,4.0094485e-05,0.00992662
114,CFBDS J150411+102717,71.0,4.0094485e-05,0.00992662
115,2MASSW J1506544+132106 [de],46.0,6.287544e-05,0.0107714385
116,2MASS 1507−1627,23.9,5.4674296e-05,0.010454631
117,TVLM 868-110639,53.0,7.198782e-05,0.011405053
118,2MASSW J1515008+484742 [de],34.0,5.194058e-05,0.010454631
119,2MASSI J1526140+204341 [de],67.0,4.9206865e-05,0.010349029
120,DENIS-P J153941.96-052042.4 [de],51.0,5.740801e-05,0.010560233
121,2MASS J15462718-3325111 [de],37.0,4.0094485e-05,0.00992662
122,2MASSW J1552591+294849 [de],68.0,2.7337148e-05,0.015101135
123,2MASSW J1555157-095605 [de],44.0,6.469792e-05,0.010877041
124,2MASS J16150413+1340079 [de],48.0,3.8272006e-05,0.00992662
125,SDSSp J162414.37+002915.6 [de],36.0,3.9183244e-05,0.00992662
126,2MASS J16262034+3925190 [de],110.0,6.469792e-05,0.010877041
127,2MASSW J1632291+190441 [de],50.0,4.4650675e-05,0.010243427
128,WISEPA J164715.59+563208.2,28.0,3.736077e-05,0.00992662
